,MeSH Unique ID,MeSH Heading,ScopeNote,MeSHBrowserLink
36,D016030,Kidney Transplantation,The transference of a kidney from one human or animal to another.,https://meshb.nlm.nih.gov/record/ui?ui=D016030
37,D019737,Transplants,"Organs, tissues, or cells taken from the body for grafting into another area of the same body or into another individual.",https://meshb.nlm.nih.gov/record/ui?ui=D019737
38,D054445,Facial Transplantation,"The transference between individuals of the entire face or major facial structures. In addition to the skin and cartilaginous tissue (CARTILAGE), it may include muscle and bone as well.",https://meshb.nlm.nih.gov/record/ui?ui=D054445
44,D010146,Pain,An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS.,https://meshb.nlm.nih.gov/record/ui?ui=D010146
45,D010150,Paint,An emulsion of solid color which when spread over a surface leaves a thin decorative and or protective coating.,https://meshb.nlm.nih.gov/record/ui?ui=D010150
46,D005157,Facial Pain,"Pain in the facial region including orofacial pain and craniofacial pain. Associated conditions include local inflammatory and neoplastic disorders and neuralgic syndromes involving the trigeminal, facial, and glossopharyngeal nerves. Conditions which feature recurrent or persistent facial pain as the primary manifestation of disease are referred to as FACIAL PAIN SYNDROMES.",https://meshb.nlm.nih.gov/record/ui?ui=D005157
47,D010206,Papain,A proteolytic enzyme obtained from Carica papaya. It is also the name used for a purified mixture of papain and CHYMOPAPAIN that is used as a topical enzymatic debriding agent. EC 3.4.22.2.,https://meshb.nlm.nih.gov/record/ui?ui=D010206
53,D003646,Debridement,"The removal of foreign material and devitalized or contaminated tissue from or adjacent to a traumatic or infected lesion until surrounding healthy tissue is exposed. (Dorland, 27th ed)",https://meshb.nlm.nih.gov/record/ui?ui=D003646
54,D057747,Periodontal Debridement,"Removal or disruption of DENTAL DEPOSITS and plaque-retentive DENTAL CALCULUS from tooth surfaces and within the periodontal pocket space without deliberate removal of CEMENTUM as done in ROOT PLANING and often in DENTAL SCALING. The goal is to conserve dental cementum to help maintain or re-establish healthy periodontal environment and eliminate PERIODONTITIS by using light instrumentation strokes and nonsurgical techniques (e.g., ultrasonic, laser instruments).",https://meshb.nlm.nih.gov/record/ui?ui=D057747
55,D010503,Periodic Acid-Schiff Reaction,A histochemical technique for staining carbohydrates. It is based on PERIODIC ACID oxidation of a substance containing adjacent hydroxyl groups. The resulting aldehydes react with Schiff reagent to form a colored product.,https://meshb.nlm.nih.gov/record/ui?ui=D010503
56,D004063,Digestion,The process of breakdown of food for metabolism and use by the body.,https://meshb.nlm.nih.gov/record/ui?ui=D004063
57,D000681,Amylases,"A group of amylolytic enzymes that cleave starch, glycogen, and related alpha-1,4-glucans. (Stedman, 25th ed) EC 3.2.1.-.",https://meshb.nlm.nih.gov/record/ui?ui=D000681
58,D013194,Staining and Labeling,"The use of a dye, reagent, or other material for producing coloration or contrast in biological materials for examination or observation.",https://meshb.nlm.nih.gov/record/ui?ui=D013194
59,D003933,Diagnosis,Diagnosis of a disease or condition made after DEATH.,https://meshb.nlm.nih.gov/record/ui?ui=D003933
60,D057210,Delayed Diagnosis,Excessive period of time between onset of disease and identification.,https://meshb.nlm.nih.gov/record/ui?ui=D057210
61,D003945,"Diagnosis, Oral",Examination of the mouth and teeth toward the identification and diagnosis of intraoral disease or manifestation of non-oral conditions.,https://meshb.nlm.nih.gov/record/ui?ui=D003945
62,D017831,"Diagnosis, Dual (Psychiatry)",The co-existence of a substance abuse disorder with a psychiatric disorder. The diagnostic principle is based on the fact that it has been found often that chemically dependent patients also have psychiatric problems of various degrees of severity.,https://meshb.nlm.nih.gov/record/ui?ui=D017831
63,D012698,Serologic Tests,Diagnostic procedures involving immunoglobulin reactions.,https://meshb.nlm.nih.gov/record/ui?ui=D012698
64,D000071896,Medically Unexplained Symptoms,Persistent health symptoms which remain unexplained after a complete medical evaluation. A cluster of symptoms that consistently appear together but without a known cause are referred to as a MEDICALLY UNEXPLAINED SYNDROME (MUS).,https://meshb.nlm.nih.gov/record/ui?ui=D000071896
65,D008168,Lung,Either of the pair of organs occupying the cavity of the thorax that effect the aeration of the blood.,https://meshb.nlm.nih.gov/record/ui?ui=D008168
71,D013812,Therapeutics,Procedures concerned with the remedial treatment or prevention of diseases.,https://meshb.nlm.nih.gov/record/ui?ui=D013812
74,D014945,Wound Healing,Restoration of integrity to traumatized tissue.,https://meshb.nlm.nih.gov/record/ui?ui=D014945
75,D011239,Prednisolone,"A glucocorticoid with the general properties of the corticosteroids. It is the drug of choice for all conditions in which routine systemic corticosteroid therapy is indicated, except adrenal deficiency states.",https://meshb.nlm.nih.gov/record/ui?ui=D011239
76,D011241,Prednisone,A synthetic anti-inflammatory glucocorticoid derived from CORTISONE. It is biologically inert and converted to PREDNISOLONE in the liver.,https://meshb.nlm.nih.gov/record/ui?ui=D011241
77,D005477,Fluprednisolone,A synthetic glucocorticoid with anti-inflammatory properties.,https://meshb.nlm.nih.gov/record/ui?ui=D005477
78,D008775,Methylprednisolone,A PREDNISOLONE derivative with similar anti-inflammatory action.,https://meshb.nlm.nih.gov/record/ui?ui=D008775
79,D000077555,Methylprednisolone Acetate,Methylprednisolone derivative that is used as an anti-inflammatory agent for the treatment of ALLERGY and ALLERGIC RHINITIS; ASTHMA; and BURSITIS; and for the treatment of ADRENAL INSUFFICIENCY.,https://meshb.nlm.nih.gov/record/ui?ui=D000077555
80,D010292,Paresthesia,Subjective cutaneous sensations of insects in the absence of stimulation.,https://meshb.nlm.nih.gov/record/ui?ui=D010292
81,D064726,Triple Negative Breast Neoplasms,Breast neoplasms that do not express ESTROGEN RECEPTORS; PROGESTERONE RECEPTORS; and do not overexpress the NEU RECEPTOR/HER-2 PROTO-ONCOGENE PROTEIN.,https://meshb.nlm.nih.gov/record/ui?ui=D064726
82,D016624,Negative Staining,"The technique of washing tissue specimens with a concentrated solution of a heavy metal salt and letting it dry. The specimen will be covered with a very thin layer of the metal salt, being excluded in areas where an adsorbed macromolecule is present. The macromolecules allow electrons from the beam of an electron microscope to pass much more readily than the heavy metal; thus, a reversed or negative image of the molecule is created.",https://meshb.nlm.nih.gov/record/ui?ui=D016624
83,D003469,Culture,"The process by which the dominant symbols, acts, or meanings of a society reinforce the perspective of a dominant group while making invisible, stereotyped, or marked as “other” the variations in symbols, acts, and meanings from culture to culture.in the perspectives of subordinate or targeted groups. This includes the presumed universality of the dominant group’s experience, culture, and religion.",https://meshb.nlm.nih.gov/record/ui?ui=D003469
89,D005437,Flucytosine,A fluorinated cytosine analog that is used as an antifungal agent.,https://meshb.nlm.nih.gov/record/ui?ui=D005437
90,D015725,Fluconazole,Triazole antifungal agent that is used to treat oropharyngeal CANDIDIASIS and cryptococcal MENINGITIS in AIDS.,https://meshb.nlm.nih.gov/record/ui?ui=D015725
95,D012895,"Sleep, REM",A stage of sleep characterized by rapid movements of the eye and low voltage fast pattern EEG. It is usually associated with dreaming.,https://meshb.nlm.nih.gov/record/ui?ui=D012895
96,D019320,"Embolism, Paradoxical","Blockage of an artery due to passage of a clot (THROMBUS) from a systemic vein to a systemic artery without its passing through the lung which acts as a filter to remove blood clots from entering the arterial circulation. Paradoxical embolism occurs when there is a defect that allows a clot to cross directly from the right to the left side of the heart as in the cases of ATRIAL SEPTAL DEFECTS or open FORAMEN OVALE. Once in the arterial circulation, a clot can travel to the brain, block an artery, and cause a STROKE.",https://meshb.nlm.nih.gov/record/ui?ui=D019320
100,D010349,Patient Compliance,Voluntary cooperation of the patient in following a prescribed regimen.,https://meshb.nlm.nih.gov/record/ui?ui=D010349
101,D007391,International Cooperation,The interaction of persons or groups of persons representing various nations in the pursuit of a common goal or interest.,https://meshb.nlm.nih.gov/record/ui?ui=D007391
102,D008211,Lymphocyte Cooperation,T-cell enhancement of the B-cell response to thymic-dependent antigens.,https://meshb.nlm.nih.gov/record/ui?ui=D008211
103,D000070516,Intersectoral Collaboration,Cooperative actions and ventures among health and health-related groups and organizations intended to improve health outcomes.,https://meshb.nlm.nih.gov/record/ui?ui=D000070516
104,D013038,Specialization,"The limitation of practice or study to a particular branch of medicine, dentistry, or other health profession. It is philosophically distinct from the generalist theory in which familiarity with a wide cross-section of the particular discipline is advocated.",https://meshb.nlm.nih.gov/record/ui?ui=D013038
105,D000072184,Nurse Specialists,Nursing professionals whose practice is limited to A particular area or discipline of medicine.,https://meshb.nlm.nih.gov/record/ui?ui=D000072184
106,D007255,Information Services,"Organized services to provide information on any questions an individual might have using databases and other sources. (From Random House Unabridged Dictionary, 2d ed)",https://meshb.nlm.nih.gov/record/ui?ui=D007255
107,D020043,"Genes, Essential",Constitutively and evenly expressed genes involved in routine cellular metabolisms.,https://meshb.nlm.nih.gov/record/ui?ui=D020043
108,D020329,Essential Tremor,"A relatively common disorder characterized by a fairly specific pattern of tremors which are most prominent in the upper extremities and neck, inducing titubations of the head. The tremor is usually mild, but when severe may be disabling. An autosomal dominant pattern of inheritance may occur in some families (i.e., familial tremor). (Mov Disord 1988;13(1):5-10)",https://meshb.nlm.nih.gov/record/ui?ui=D020329
116,D013014,"SOS Response, Genetics","An error-prone mechanism or set of functions for repairing damaged microbial DNA. SOS functions (a concept reputedly derived from the SOS of the international distress signal) are involved in DNA repair and mutagenesis, in cell division inhibition, in recovery of normal physiological conditions after DNA repair, and possibly in cell death when DNA damage is extensive.",https://meshb.nlm.nih.gov/record/ui?ui=D013014
117,D016275,Atrial Function,The hemodynamic and electrophysiological action of the HEART ATRIA.,https://meshb.nlm.nih.gov/record/ui?ui=D016275
122,D003454,Cryptococcus,A mitosporic Tremellales fungal genus whose species usually have a capsule and do not form pseudomycellium. Teleomorphs include Filobasidiella and Fidobasidium.,https://meshb.nlm.nih.gov/record/ui?ui=D003454
123,D056285,Cryptococcus gattii,A species of the fungus CRYPTOCOCCUS. Its teleomorph is Filobasidiella bacillispora.,https://meshb.nlm.nih.gov/record/ui?ui=D056285
124,D003455,Cryptococcus neoformans,A species of the fungus CRYPTOCOCCUS. Its teleomorph is Filobasidiella neoformans.,https://meshb.nlm.nih.gov/record/ui?ui=D003455
125,D003453,Cryptococcosis,Infection with a fungus of the species CRYPTOCOCCUS NEOFORMANS.,https://meshb.nlm.nih.gov/record/ui?ui=D003453
130,D019233,Retreatment,"The therapy of the same disease in a patient, with the same agent or procedure repeated after initial treatment, or with an additional or alternate measure or follow-up. It does not include therapy which requires more than one administration of a therapeutic agent or regimen. Retreatment is often used with reference to a different modality when the original one was inadequate, harmful, or unsuccessful.",https://meshb.nlm.nih.gov/record/ui?ui=D019233
131,D015199,Extracorporeal Membrane Oxygenation,"Application of a life support system that circulates the blood through an oxygenating system, which may consist of a pump, a membrane oxygenator, and a heat exchanger. Examples of its use are to assist victims of SMOKE INHALATION INJURY; RESPIRATORY FAILURE; and CARDIAC FAILURE.",https://meshb.nlm.nih.gov/record/ui?ui=D015199
132,D017048,Health Care Costs,"The actual costs of providing services related to the delivery of health care, including the costs of procedures, therapies, and medications. It is differentiated from HEALTH EXPENDITURES, which refers to the amount of money paid for the services, and from fees, which refers to the amount charged, regardless of cost.",https://meshb.nlm.nih.gov/record/ui?ui=D017048
133,D018508,Water Purification,Processes used to make water more acceptable for a desired end-use,https://meshb.nlm.nih.gov/record/ui?ui=D018508
134,D019090,Case Management,"A traditional term for all the activities which a physician or other health care professional normally performs to insure the coordination of the medical services required by a patient. It also, when used in connection with managed care, covers all the activities of evaluating the patient, planning treatment, referral, and follow-up so that care is continuous and comprehensive and payment for the care is obtained. (From Slee & Slee, Health Care Terms, 2nd ed)",https://meshb.nlm.nih.gov/record/ui?ui=D019090
135,D059408,Pain Management,A form of therapy that employs a coordinated and interdisciplinary approach for easing the suffering and improving the quality of life of those experiencing pain.,https://meshb.nlm.nih.gov/record/ui?ui=D059408
136,D010571,Pest Control,"The reduction or regulation of the population of noxious, destructive, or dangerous plants, insects, or other animals.  This includes control of plants that serve as habitats or food sources for animal pests.",https://meshb.nlm.nih.gov/record/ui?ui=D010571
137,D019468,Disease Management,"A broad approach to appropriate coordination of the entire disease treatment process that often involves shifting away from more expensive inpatient and acute care to areas such as preventive medicine, patient counseling and education, and outpatient care. This concept includes implications of appropriate versus inappropriate therapy on the overall cost and clinical outcome of a particular disease. (From Hosp Pharm 1995 Jul;30(7):596)",https://meshb.nlm.nih.gov/record/ui?ui=D019468
138,D000067449,Anger Management Therapy,"System of psychological and/or therapeutic techniques used to control and or reduce the triggers, degrees, and effects of ANGER.",https://meshb.nlm.nih.gov/record/ui?ui=D000067449
142,D004467,Economics,"The science of utilization, distribution, and consumption of services and materials.",https://meshb.nlm.nih.gov/record/ui?ui=D004467
143,D000893,Anti-Inflammatory Agents,Substances that reduce or suppress INFLAMMATION.,https://meshb.nlm.nih.gov/record/ui?ui=D000893
157,D010488,Polyarteritis Nodosa,"A form of necrotizing non-granulomatous inflammation occurring primarily in medium-sized ARTERIES, often with microaneurysms. It is characterized by muscle, joint, and abdominal pain resulting from arterial infarction and scarring in affected organs. Polyarteritis nodosa with lung involvement is called CHURG-STRAUSS SYNDROME.",https://meshb.nlm.nih.gov/record/ui?ui=D010488
158,D015423,Scleritis,"Refers to any inflammation of the sclera including episcleritis, a benign condition affecting only the episclera, which is generally short-lived and easily treated. Classic scleritis, on the other hand, affects deeper tissue and is characterized by higher rates of visual acuity loss and even mortality, particularly in necrotizing form. Its characteristic symptom is severe and general head pain. Scleritis has also been associated with systemic collagen disease. Etiology is unknown but is thought to involve a local immune response. Treatment is difficult and includes administration of anti-inflammatory and immunosuppressive agents such as corticosteroids. Inflammation of the sclera may also be secondary to inflammation of adjacent tissues, such as the conjunctiva.",https://meshb.nlm.nih.gov/record/ui?ui=D015423
159,D009188,"Myelitis, Transverse","Inflammation of a transverse portion of the spinal cord characterized by acute or subacute segmental demyelination or necrosis. The condition may occur sporadically, follow an infection or vaccination, or present as a paraneoplastic syndrome (see also ENCEPHALOMYELITIS, ACUTE DISSEMINATED). Clinical manifestations include motor weakness, sensory loss, and incontinence. (Adams et al., Principles of Neurology, 6th ed, pp1242-6)",https://meshb.nlm.nih.gov/record/ui?ui=D009188
160,D019115,"Fasciitis, Necrotizing","A fulminating bacterial infection of the deep layers of the skin and FASCIA. It can be caused by many different organisms, with STREPTOCOCCUS PYOGENES being the most common.",https://meshb.nlm.nih.gov/record/ui?ui=D019115
161,D020345,"Enterocolitis, Necrotizing",ENTEROCOLITIS with extensive ulceration (ULCER) and NECROSIS. It is observed primarily in LOW BIRTH WEIGHT INFANT.,https://meshb.nlm.nih.gov/record/ui?ui=D020345
162,D005208,Fasciitis,"Inflammation of the fascia. There are three major types: 1, Eosinophilic fasciitis, an inflammatory reaction with eosinophilia, producing hard thickened skin with an orange-peel configuration suggestive of scleroderma and considered by some a variant of scleroderma; 2, Necrotizing fasciitis (FASCIITIS, NECROTIZING), a serious fulminating infection (usually by a beta hemolytic streptococcus) causing extensive necrosis of superficial fascia; 3, Nodular/Pseudosarcomatous /Proliferative fasciitis, characterized by a rapid growth of fibroblasts with mononuclear inflammatory cells and proliferating capillaries in soft tissue, often the forearm; it is not malignant but is sometimes mistaken for fibrosarcoma.",https://meshb.nlm.nih.gov/record/ui?ui=D005208
163,D036981,"Fasciitis, Plantar","Inflammation of the plantar fascia (APONEUROSIS) on the bottom of the foot causing heel pain. The etiology of plantar fasciitis remains controversial but is likely to involve a biomechanical imbalance. Though often presenting along with HEEL SPUR, they do not appear to be causally related.",https://meshb.nlm.nih.gov/record/ui?ui=D036981
167,D018746,Systemic Inflammatory Response Syndrome,"A systemic inflammatory response to a variety of clinical insults, characterized by two or more of the following conditions: (1) fever >38 degrees C or HYPOTHERMIA <36 degrees C; (2) TACHYCARDIA >90 beat/minute; (3) tachypnea >24 breaths/minute; (4) LEUKOCYTOSIS >12,000 cells/cubic mm or 10% immature forms. While usually related to infection, SIRS can also be associated with noninfectious insults such as TRAUMA; BURNS; or PANCREATITIS. If infection is involved, a patient with SIRS is said to have SEPSIS.",https://meshb.nlm.nih.gov/record/ui?ui=D018746
168,D000071199,"NLR Family, Pyrin Domain-Containing 3 Protein",An NLR protein that contains an N-terminal PYRIN DOMAIN and ATP-binding site and 9 C-terminal LEUCINE-rich repeats; it is expressed primarily by MACROPHAGES. It is a core component of the INFLAMMASOME and directs its assembly in response to pathogen infection and damage-associated stimuli. Mutations in the NLRP3 gene are associated with FAMILIAL COLD AUTOINFLAMMATORY SYNDROME.,https://meshb.nlm.nih.gov/record/ui?ui=D000071199
170,D014180,Transplantation,"Transference of a tissue or organ from either an alive or deceased donor, within an individual, between individuals of the same species, or between individuals of different species.",https://meshb.nlm.nih.gov/record/ui?ui=D014180
171,D017690,Cell Transplantation,"Transference of cells within an individual, between individuals of the same species, or between individuals of different species.",https://meshb.nlm.nih.gov/record/ui?ui=D017690
173,D016025,Bone Transplantation,The grafting of bone from a donor site to a recipient site.,https://meshb.nlm.nih.gov/record/ui?ui=D016025
174,D066027,Transplant Recipients,"Individuals receiving tissues or organs transferred from another individual of the same or different species, or from within the same individual.",https://meshb.nlm.nih.gov/record/ui?ui=D066027
