,MeSH Unique ID,MeSH Heading,ScopeNote,MeSHBrowserLink
31,D061885,Chromophore-Assisted Light Inactivation,A technique for causing a targeted loss of molecular function from REACTIVE OXYGEN SPECIES that are formed by the illumination of dyes placed in the immediate vicinity of the target molecule.,https://meshb.nlm.nih.gov/record/ui?ui=D061885
32,D003584,Cytological Techniques,Methods used to study CELLS.,https://meshb.nlm.nih.gov/record/ui?ui=D003584
33,D001174,Arthrodesis,"The surgical fixation of a joint by a procedure designed to accomplish fusion of the joint surfaces by promoting the proliferation of bone cells. (Dorland, 28th ed)",https://meshb.nlm.nih.gov/record/ui?ui=D001174
34,D005384,Finger Joint,"The articulation between the head of one phalanx and the base of the one distal to it, in each finger.",https://meshb.nlm.nih.gov/record/ui?ui=D005384
35,D014033,Toe Joint,"The articulation between the head of one phalanx and the base of the one distal to it, in each toe.",https://meshb.nlm.nih.gov/record/ui?ui=D014033
38,D016268,Internal Fixators,"Internal devices used in osteosynthesis to hold the position of the fracture in proper alignment. By applying the principles of biomedical engineering, the surgeon uses metal plates, nails, rods, etc., for the correction of skeletal defects.",https://meshb.nlm.nih.gov/record/ui?ui=D016268
39,D001864,Bone Wires,"Steel wires, often threaded through the skin, soft tissues, and bone, used to fix broken bones. Kirschner wires or apparatus also includes the application of traction to the healing bones through the wires.",https://meshb.nlm.nih.gov/record/ui?ui=D001864
40,D001843,Bone Cements,"Adhesives used to fix prosthetic devices to bones and to cement bone to bone in difficult fractures. Synthetic resins are commonly used as cements. A mixture of monocalcium phosphate, monohydrate, alpha-tricalcium phosphate, and calcium carbonate with a sodium phosphate solution is also a useful bone paste.",https://meshb.nlm.nih.gov/record/ui?ui=D001843
41,D019904,Polymethyl Methacrylate,"Polymerized methyl methacrylate monomers which are used as sheets, moulding, extrusion powders, surface coating resins, emulsion polymers, fibers, inks, and films (From International Labor Organization, 1983). This material is also used in tooth implants, bone cements, and hard corneal contact lenses.",https://meshb.nlm.nih.gov/record/ui?ui=D019904
43,D001168,Arthritis,Acute or chronic inflammation of JOINTS.,https://meshb.nlm.nih.gov/record/ui?ui=D001168
